Headline,Label
Gadgets in trays for airport check may go by year-end,REAL
Government staffers not entitled to overtime work allowance: Supreme Court,REAL
"US President Joe Biden to visit in September, 2024 to be big year for India ties: US",REAL
India conducts maiden test of sea-based ballistic missile defence system,REAL
"Chinese, Russian defence ministers to come for SCO meet in Delhi next week",REAL
Some Indian nationals evacuated from Sudan: Saudi Arabia,REAL
"Defence ministers of Russia, China likely to attend SCO meet in India next week",REAL
"Nitish Kumar's JD(U) supports Satya Pal Malik, says 'Malik Sahab has been a fighter'",REAL
"SAD patriarch Parkash Singh Badal in ICU, being closely monitored: Hospital",REAL
Condemn people who spread negativity: Piyush Goyal on Satya Pal Malik remarks,REAL
No heatwave conditions over most of India for 5 days: IMD,REAL
"Amit Shah confident of BJP win in Karnataka, says Rahul should not play 'victim' after disrespecting OBCs",REAL
US has set target to issue over 1 million visas to Indians in 2023: Senior US official,REAL
Indian Navy successfully tests sea-based endo-atmospheric interceptor missile off Odisha coast,REAL
"Collegium issue is all about mindgame, won't comment: Law minister Rijiju",REAL
Disaster-management plans in cities lack child-centric approach: Study,REAL
Punjab bids tearful adieu to soldiers killed in Poonch attack,REAL
"Ex-J&K governor Satya Pal Malik not detained, came to police station on his own: Delhi Police",REAL
"Ajit Pawar capable of becoming Maharashtra CM, says Sanjay Raut",REAL
Rahul Gandhi vacates official bungalow a month after Lok Sabha disqualification,REAL
Isro’s PSLV-C55 places two Singapore satellites in orbits; upper stage of rocket ‘going to write a summer poem’,REAL
"Isro's PSLV-C55 successfully places two Singapore satellites into orbit, rocket lifted off from Sriharikota",REAL
"PM Modi to travel 5,300 km in 36 hours attending 8 events in 7 cities",REAL
'We don't want danga': CM Mamata speaks on 'hate politics' at Eid function,REAL
Madhya Pradesh: Two women Maoist Area committee members shot dead in Balaghat,REAL
"Covid-19: India records 12,193 fresh cases",REAL
NSA's misuse will stop only when those misusing it are punished,REAL
"2022 'fifth or sixth' warmest year ever, says WMO climate report",REAL
"BARC Recruitment 2023: Registration for 4374 posts begins tomorrow on barc.gov.in, check eligibility here",REAL
"LIC ADO Mains 2023 Exam Today: Check admit card link, important instructions here",REAL
JEE Main 2023 Result Date and Time: When will NTA release JEE Main result and rankings?,REAL
World Earth Day: 8 Global Impacts Of Climate Change,REAL
"World Earth Day 2023: History, Theme and Significance",REAL
BPSC CCE 68th Mains application correction window closes today at bpsc.bih.nic.in,REAL
"UP Board Result 2023 Date and Time: UPMSP Class 10, 12 results to be announced soon on upresults.nic.in",REAL
"TANCET 2023 scorecard to release today on tancet.annauniv.edu, how to download",REAL
Karnataka polls: Election officials check helicopter in which Congress leader DK Shivakumar's family travelled,REAL
BJP wins district council elections before Mizoram assembly polls,REAL
"BJP is harassing DKS, filed papers as a back-up: Bro",REAL
BJP woos Lingayats with Congress 'neglect' pitch,REAL
Karnataka candidates enrol kin as safe ‘substitutes’,REAL
"BJP MLC joins JD(S), is 10th legislator to quit the party",REAL
33% feel women must consult men before voting: Survey,REAL
"As son files nomination papers, BS Yediyurappa accompanies in 'lucky' car",REAL
Karnataka Elections,REAL
Elections 2023,REAL
Assembly Elections 2023,REAL
Karnataka Election Dates,REAL
Karnataka Election Result,REAL
Poltical Parties in Karnataka,REAL
Karnataka Exit Polls,REAL
Karnataka Election Candidates 2023,REAL
Telangana Elections,REAL
Rajasthan Elections,REAL
Madhya Pradesh Elections,REAL
Mizoram Elections,REAL
Chhattisgarh Elections,REAL
AP Elections,REAL
Arunachal Pradesh Election,REAL
Latest news,REAL
News,REAL
COVID-19 in World,REAL
Coronavirus India,REAL
Coronavirus,REAL
India China news,REAL
Moderna vaccine,REAL
Covaxin,REAL
Astrazeneca vaccine,REAL
Asaduddin Owaisi,REAL
Pfizer vaccine,REAL
Sputnik vaccine,REAL
